METER NAME,METER BUILDING LOCATION,ROOM VIDEO, INSTALLATION PHASE,MAIN / SUB,SUB OF,REXED,METER TYPE,SERIAL #,CT RATIO ONE-LINE,PHYSICAL CT PHOTO,CT RATIO PROGRAMMED,PT RATIO PROGRAMMED,IP ADDRESS,SUBNET MASK,GATEWAY #,MULTINET ADDRESS,MODBUS ID,MAC ADDRESS,TEST SWITCH,DEAD PLATE,PLACARD,DATA JACK #,MOXA SWITCH,KEY ACCESS,METER ACCESS,LADDER,TOOLBOX,SOFTWARE OPTION
QLCSS_MAIN_MTR,QLCSS,Mech 121,2,MAIN,NULL,,GE EPM 7000,179105932,1200:05:00,,1600:05:00,480:480,10.181.121.130,255.255.252.0,10.181.120.1,,,BUS BARS EXPOSED,Y,N,LINK,39191,N,176_28,BUS BARS EXPOSED,N,Y,
QUAD_CHILLER_PLANT_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.72.1,10.181.73.135,1,,,,,,,,,,,
SAKAMAKI_HALL_AC_EQPT_MTR,,,1,SUB,SAKAMAKI_HALL_MAIN_MTR,,PQM2,,,,,,,255.255.252.0,10.181.124.1,10.181.125.130,2,,,,,,,,,,,
SAKAMAKI_HALL_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.124.1,10.181.125.130,108,,,,,,,,,,,
SAUNDERS_HALL_MAIN_A_MTR,SAUNDERS HALL,Mech 106B,1,MAIN,NULL,,PQM2,7324409,,,,,,255.255.252.0,10.181.128.1,10.181.129.129,1,,,,LINK,39284,N,147B,SAFE,N,Y,
SAUNDERS_HALL_MAIN_B_MTR,SAUNDERS HALL,Mech 106B,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.128.1,10.181.129.130,1,,,,,,N,147B,SAFE,N,Y,
SHERMAN_MAIN_1_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.132.1,10.181.133.130,1,,,,,,,,,,,
SHERMAN_MAIN_2_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.132.1,10.181.133.131,1,,,,,,,,,,,
SINCLAIR_LIB_MAIN_MTR,,,STAND ALONE PROJECT,MAIN,NULL,,GE EPM 7000,,NOT DISPLAYED,2000:05:00,2000:05:00,,,,,,,,,,,,,,,,,
SOFTBALL_TENNIS_MAIN_MTR,SOFTBALL TENNIS ,Exterior,3,MAIN,NULL,,GE EPM 7000,220560621,NOT DISPLAYED,800:05:00,800:05:00,277:277,10.181.189.155,255.255.252.0,10.181.188.1,,,BUS BARS EXPOSED,Y,N,LINK,40334,Y,Email Facilities,BUS BARS EXPOSED,N,Y,B
SPALDING_HALL_MAIN_MTR,,,2,MAIN,NULL,,GE EPM 7000,179106630,2000:05:00,,2000:05:00,208:208,10.181.253.130,255.255.252.0,10.181.252.1,,,,,,,,,,,,,
ST_JOHN_PLANT_SCIENCE_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.144.1,10.181.145.130,1,,,,,,,,,,,
STAN_SHERIFF_CTR_MAIN_1_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.188.1,10.181.21.150,1,,,,,,,,,,,
STAN_SHERIFF_CTR_MAIN_2_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.188.1,10.181.21.151,1,,,,,,,,,,,
STUDENT_HEALTH_MAIN_MTR,STUDENT HEALTH,Mech 161,STAND ALONE PROJECT,MAIN,NULL,,GE EPM 7000,274450123,NOT DISPLAYED,,,,10.181.217.130,255.255.252.0,10.181.216.1,,,NO TEST SWITCH,N,Y,LINK,40309,N,182_28A,NO TEST SWITCH,N,Y,
TRANSPORTATION_SRVC_MAIN_MTR,TRANSPORTATION SERVICES,Exterior,3,MAIN,NULL,,GE EPM 7000,220553017,NOT DISPLAYED,200:05:00,200:05:00,120:120,10.181.221.155,255.255.252.0,10.181.220.1,,,WIRING TOO TIGHT,Y,Y,LINK,40327,N, ,SAFE,N,Y,B
UNIV_HIGH_SCHOOL_3_MAIN_MTR,UNIV HIGH SCHOOL,Mech 138,3,MAIN,NULL,,GE EPM 7000,220561420,NOT DISPLAYED,600:05:00,600:05:00,120:120,10.181.157.136,255.255.252.0,10.181.156.1,,,00-01-58-01-52-74,Y,Y,LINK,40312,Y,182_28A,SAFE,N,Y,B
WARRIOR_REC_CTR_MAIN_MTR,,,,MAIN,NULL,Y,GE EPM 7000,,,,,,,,,,,,,,,,,,,,,
WEBSTER_HALL_MAIN_MTR,,,1,MAIN,NULL,,PQM2,,,,,,,255.255.252.0,10.181.152.1,10.181.153.130,1,,,,,,,,,,,
WIST_ANNEX_1_MAIN_MTR,WIST ANNEX,OFC 102A,3,MAIN,NULL,,GE EPM 7000,220309117,NOT DISPLAYED,800:05:00,800:05:00,120:120,10.181.157.130,255.255.252.0,10.181.156.1,,,00-01-58-01-52-A6,Y,Y,LINK,40313,N,?,SAFE,N,Y,B
WIST_HALL_MAIN_MTR,,,,SUB,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,,,,,,
