METER NAME,METER BUILDING LOCATION,ROOM VIDEO, INSTALLATION PHASE,MAIN / SUB,SUB OF,REXED,METER TYPE,SERIAL #,CT RATIO ONE-LINE,PHYSICAL CT PHOTO,CT RATIO PROGRAMMED,PT RATIO PROGRAMMED,IP ADDRESS,SUBNET MASK,GATEWAY #,MULTINET ADDRESS,MODBUS ID,MAC ADDRESS,TEST SWITCH,DEAD PLATE,PLACARD,DATA JACK #,MOXA SWITCH,KEY ACCESS,METER ACCESS,LADDER,TOOLBOX,SOFTWARE OPTION
HALE_NOELANI_TOWER_A_B_MTR,,,3,SUB,HALE_NOELANI_ALL_TOWERS_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_NOELANI_TOWER_B_MTR,,,3,SUB,HALE_NOELANI_TOWER_A_B_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_NOELANI_TOWER_C_D_MTR,,,3,SUB,HALE_NOELANI_ALL_TOWERS_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_NOELANI_TOWER_C_MTR,,,3,SUB,HALE_NOELANI_TOWER_C_D_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_NOELANI_TOWER_E_MTR,,,3,SUB,HALE_NOELANI_ALL_TOWERS_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_WAINANI_F_TOWER_MAIN_MTR,,,3,SUB,HALE_WAINANI_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_WAINANI_G_TOWER_MAIN_MTR,,,3,SUB,HALE_WAINANI_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_WAINANI_H_TOWER_MAIN_MTR,,,3,SUB,HALE_WAINANI_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_WAINANI_I_TOWER_MAIN_MTR,,,3,SUB,HALE_WAINANI_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,,,,,,,,,,,,,,,,,,,
HALE_WAINANI_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,3000:05:00,,,,,,,,,,,,,,,,,,
HAMILTON_LIB_1_2_MAIN_1_MTR,HAMILTON LIBRARY,Exterior,3,MAIN,NULL,,GE EPM 7000,219885235,4000:05:00,3000:05:00,,,10.181.69.133,255.255.252.0,10.181.68.1,,,00-01-58-01-50-31,Y,Y,LINK,40315,Y,182_28A,SAFE,Y,Y,
HAMILTON_LIB_1_2_MAIN_2_MTR,HAMILTON LIBRARY,Exterior,3,MAIN,NULL,,GE EPM 7000,220550418,4000:05:00,3000:05:00,,,10.181.69.134,255.255.252.0,10.181.68.1,,,00-01-58-01-50-02,Y,Y,LINK,40315,Y,182_28A,SAFE,Y,Y,
HAMILTON_LIB_PH_III_CH_1_MTR,,,1,SUB,HAMILTON_LIB_PH_III_MAIN_1_MTR,,PQM2,7324396,,,,,,255.255.252.0,10.181.68.1,10.181.69.130,1,,,,,,,,,,,
HAMILTON_LIB_PH_III_CH_2_MTR,,,1,SUB,HAMILTON_LIB_PH_III_MAIN_1_MTR,,PQM2,7324394,,,,,,255.255.252.0,10.181.68.1,10.181.69.130,3,,,,,,,,,,,
HAMILTON_LIB_PH_III_CH_3_MTR,,,1,SUB,HAMILTON_LIB_PH_III_MAIN_1_MTR,,PQM2,7324393,,,,,,255.255.252.0,10.181.68.1,10.181.69.130,5,,,,,,,,,,,
HAMILTON_LIB_PH_III_MAIN_1_MTR,,,1,MAIN,NULL,,PQM2,7324395,,,,,,255.255.252.0,10.181.68.1,10.181.69.131,1,,,,,,,,,,,
HAMILTON_LIB_PH_III_MAIN_2_MTR,,,1,MAIN,NULL,,PQM2,7324372,,,,,,255.255.252.0,10.181.68.1,10.181.69.132,1,,,,,,,,,,,
HAMILTON_LIB_PH_III_MCC_AC1_MTR,,,1,SUB,HAMILTON_LIB_PH_III_MAIN_1_MTR,,PQM2,7324370,,,,,,255.255.252.0,10.181.68.1,10.181.69.130,2,,,,,,,,,,,
HAMILTON_LIB_PH_III_MCC_AC2_MTR,,,1,SUB,HAMILTON_LIB_PH_III_MAIN_1_MTR,,PQM2,7324368,,,,,,255.255.252.0,10.181.68.1,10.181.69.130,4,,,,,,,,,,,
HAWAII_HALL_MAIN_MTR,HAWAII HALL,Mech 212,2,MAIN,NULL,,GE EPM 7000,179102424,800:05:00,,800:05:00,480:480,10.181.73.130,255.255.252.0,10.181.72.1,,,00-01-58-00-EC-9B,Y,Y,LINK,39173,N,182_28A,SAFE,Y,N,F
HEMENWAY_HALL_KITCHEN_MTR,,,3,SUB,HEMENWAY_HALL_MAIN_MTR,Y,GE EPM 7000,,NOT DISPLAYED,600:05:00,,,,,,,,,,,,,,,,,,
HEMENWAY_HALL_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,1200:05:00,,,,,,,,,,,,,,,,,,
HIG_NOAA_MTR,,,1,SUB,HIG_SUBSTATION_2_MAIN_MTR,,PQM2,7324383,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,6,,,,,,,,,,,
HIG_PANEL_PB_MTR,,,1,SUB,HIG_SUBSTATION_3_MAIN_MTR,,PQM2,7324371,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,4,,,,,,,,,,,
HIG_PANEL_PBA_MTR,,,1,SUB,HIG_SUBSTATION_3_MAIN_MTR,,PQM2,7324376,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,5,,,,,,,,,,,
HIG_SUBSTATION_1_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324379,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,1,,,,,,,,,,,
HIG_SUBSTATION_2_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324427,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,106,,,,,,,,,,,
HIG_SUBSTATION_3_MAIN_MTR,,,1,MAIN,NULL,,PQM2,7324378,,,,,,255.255.252.0,10.181.76.1,10.181.77.130,107,,,,,,,,,,,
HPER_KLUM_GYM_MTR,HPER KLUM,Elec 028,2,SUB,HPER_MAIN_MTR,,GE EPM 7000,179106933,200:05:00,,200:05:00,208:208,10.181.21.140,255.255.252.0,10.181.20.1,,,00-01-58-00-EC-17,Y,Y,LINK,39189,N,182_28A,SAFE,Y,Y,F
HPER_MAIN_MTR,HPER MAIN,Elec 028,2,MAIN,NULL,,GE EPM 7000,179105629,3000:05:00,,3000:05:00,480:480,10.181.21.135,255.255.252.0,10.181.20.1,,,BUS BARS EXPOSED,Y,N,LINK,39190,N,182_28A,BUS BARS EXPOSED,Y,Y,F
HOLMES_HALL_MAIN_A_MTR,HOLMES HALL,Elec B80E,,,,,GE EPM 7000,175590229,,,,,,,,,,POSSIBLY FAULTY TEST SWITCH,Y,Y,LINK,39453,N,,POSSIBLY FAULTY TEST SWITCH,N,Y,
HOLMES_HALL_MAIN_B_MTR ,HOLMES HALL,Elec B80E,,,,,GE EPM 7000,175589237,,, ,,,,,,,POSSIBLY FAULTY TEST SWITCH,Y,Y,LINK,39454,N,,POSSIBLY FAULTY TEST SWITCH,N,Y,
JEFFERSON_HALL_MAIN_MTR,,,3,MAIN,NULL,Y,GE EPM 7000,,NOT DISPLAYED,1600:05:00,,,,,,,,,,,,,,,,,,
